,日期,確診數,前日上升比例,7日平均,7日平均上升,累積,人口比例
五,2022/4/1,236,,,,"23,629",0.10%
六,2022/4/2,404,171.19%,,,"24,033",0.10%
日,2022/4/3,280,69.31%,,,"24,313",0.11%
一,2022/4/4,275,98.21%,,,"24,588",0.11%
二,2022/4/5,281,102.18%,,,"24,869",0.11%
三,2022/4/6,259,92.17%,,,"25,128",0.11%
四,2022/4/7,531,205.02%,324,,"25,659",0.11%
五,2022/4/8,507,95.48%,362,11.96%,"26,166",0.11%
六,2022/4/9,578,114.00%,387,6.86%,"26,744",0.12%
日,2022/4/10,431,74.57%,409,5.57%,"27,175",0.12%
一,2022/4/11,439,101.86%,432,5.73%,"27,614",0.12%
二,2022/4/12,551,125.51%,471,8.92%,"28,165",0.12%
三,2022/4/13,744,135.03%,540,14.71%,"28,909",0.13%
四,2022/4/14,874,117.47%,589,9.07%,"29,783",0.13%
五,2022/4/15,"1,209",138.33%,689,17.02%,"30,992",0.13%
六,2022/4/16,"1,199",99.17%,778,12.87%,"32,191",0.14%
日,2022/4/17,"1,210",100.92%,889,14.30%,"33,401",0.15%
一,2022/4/18,"1,390",114.88%,"1,025",15.27%,"34,791",0.15%
二,2022/4/19,"1,626",116.98%,"1,179",14.98%,"36,417",0.16%
三,2022/4/20,"2,386",146.74%,"1,413",19.90%,"38,803",0.17%
四,2022/4/21,"2,969",124.43%,"1,713",21.17%,"41,772",0.18%
五,2022/4/22,"3,766",126.84%,"2,078",21.33%,"45,538",0.20%
六,2022/4/23,"4,204",111.63%,"2,507",20.66%,"49,742",0.22%
日,2022/4/24,"5,092",121.12%,"3,062",22.12%,"54,834",0.24%
一,2022/4/25,"5,108",100.31%,"3,593",17.35%,"59,942",0.26%
二,2022/4/26,"6,295",123.24%,"4,260",18.56%,"66,237",0.29%
三,2022/4/27,"8,822",140.14%,"5,179",21.58%,"75,059",0.33%
四,2022/4/28,"11,353",128.69%,"6,377",23.12%,"86,412",0.38%
五,2022/4/29,"11,974",105.47%,"7,550",18.39%,"98,386",0.43%
六,2022/4/30,"15,033",125.55%,"9,097",20.49%,"113,419",0.49%
日,2022/5/1,"17,085",113.65%,"10,810",18.83%,"130,504",0.57%
一,2022/5/2,"17,858",104.52%,"12,631",16.85%,"148,362",0.65%
二,2022/5/3,"23,139",129.57%,"15,038",19.05%,"171,501",0.75%
三,2022/5/4,"28,487",123.11%,"17,847",18.68%,"199,988",0.87%
四,2022/5/5,"30,106",105.68%,"20,526",15.01%,"230,094",1.00%
五,2022/5/6,"36,213",120.28%,"23,989",16.87%,"266,307",1.16%
六,2022/5/7,"46,536",128.51%,"28,489",18.76%,"312,843",1.36%
日,2022/5/8,"44,361",95.33%,"32,386",13.68%,"357,204",1.55%
一,2022/5/9,"40,304",90.85%,"35,592",9.90%,"397,508",1.73%
二,2022/5/10,"50,828",126.11%,"39,548",11.11%,"448,336",1.95%
三,2022/5/11,"57,216",112.57%,"43,652",10.38%,"505,552",2.20%
四,2022/5/12,"65,385",114.28%,"48,692",11.55%,"570,937",2.48%
五,2022/5/13,"65,011",99.43%,"52,806",8.45%,"635,948",2.76%
六,2022/5/14,"64,041",98.51%,"55,307",4.74%,"699,989",3.04%
日,2022/5/15,"68,769",107.38%,"58,793",6.30%,"768,758",3.34%
一,2022/5/16,"61,754",89.80%,"61,858",5.21%,"830,512",3.61%
二,2022/5/17,"65,833",106.61%,"64,001",3.47%,"896,345",3.90%
三,2022/5/18,"85,356",129.66%,"68,021",6.28%,"981,701",4.27%
四,2022/5/19,"90,378",105.88%,"71,592",5.25%,"1,072,079",4.66%
五,2022/5/20,"85,761",94.89%,"74,556",4.14%,"1,157,840",5.03%
六,2022/5/21,"84,639",98.69%,"77,499",3.95%,"1,242,479",5.40%
日,2022/5/22,"79,487",93.91%,"79,030",1.98%,"1,321,966",5.75%
一,2022/5/23,"66,283",83.39%,"79,677",0.82%,"1,388,249",6.04%
二,2022/5/24,"82,435",124.37%,"82,048",2.98%,"1,470,684",6.39%
三,2022/5/25,"89,352",108.39%,"82,619",0.70%,"1,560,036",6.78%
四,2022/5/26,"81,907",91.67%,"81,409",-1.46%,"1,641,943",7.14%
五,2022/5/27,"94,855",115.81%,"82,708",1.60%,"1,736,798",7.55%
六,2022/5/28,"80,881",85.27%,"82,171",-0.65%,"1,817,679",7.90%
日,2022/5/29,"76,539",94.63%,"81,750",-0.51%,"1,894,218",8.24%
一,2022/5/30,"60,103",78.53%,"80,867",-1.08%,"1,954,321",8.50%
二,2022/5/31,"80,705",134.28%,"80,620",-0.31%,"2,035,026",8.85%
三,2022/6/1,"88,293",109.40%,"80,469",-0.19%,"2,123,319",9.23%
四,2022/6/2,"76,986",87.19%,"79,766",-0.87%,"2,200,305",9.57%
五,2022/6/3,"76,564",99.45%,"77,153",-3.28%,"2,276,869",9.90%
六,2022/6/4,"68,151",89.01%,"75,334",-2.36%,"2,345,020",10.20%
日,2022/6/5,"62,110",91.14%,"73,273",-2.74%,"2,407,130",10.47%
一,2022/6/6,"53,023",85.37%,"72,262",-1.38%,"2,460,153",10.70%
二,2022/6/7,"83,207",156.93%,"72,619",0.49%,"2,543,360",11.06%
三,2022/6/8,"80,223",96.41%,"71,466",-1.59%,"2,623,583",11.41%
四,2022/6/9,"72,967",90.96%,"70,892",-0.80%,"2,696,550",11.72%
五,2022/6/10,"68,347",93.67%,"69,718",-1.66%,"2,764,897",12.02%
六,2022/6/11,"79,663",116.56%,"71,363",2.36%,"2,844,560",12.37%
日,2022/6/12,"50,657",63.59%,"69,727",-2.29%,"2,895,217",12.59%
一,2022/6/13,"45,110",89.05%,"68,596",-1.62%,"2,940,327",12.78%
二,2022/6/14,"66,189",146.73%,"66,165",-3.54%,"3,006,516",13.07%
三,2022/6/15,"68,965",104.19%,"64,557",-2.43%,"3,075,481",13.37%
四,2022/6/16,"63,221",91.67%,"63,165",-2.16%,"3,138,702",13.65%
五,2022/6/17,"55,261",87.41%,"61,295",-2.96%,"3,193,963",13.89%
六,2022/6/18,"53,707",97.19%,"57,587",-6.05%,"3,247,670",14.12%
日,2022/6/19,"50,636",94.28%,"57,584",-0.01%,"3,298,306",14.34%
一,2022/6/20,"35,632",70.37%,"56,230",-2.35%,"3,333,938",14.50%
二,2022/6/21,"56,404",158.30%,"54,832",-2.49%,"3,390,342",14.74%
三,2022/6/22,"52,245",92.63%,"52,444",-4.36%,"3,442,587",14.97%
四,2022/6/23,"48,356",92.56%,"50,320",-4.05%,"3,490,943",15.18%
五,2022/6/24,"45,767",94.65%,"48,964",-2.70%,"3,536,710",15.38%
六,2022/6/25,"40,293",88.04%,"47,048",-3.91%,"3,577,003",15.55%
日,2022/6/26,"39,646",98.39%,"45,478",-3.34%,"3,616,649",15.72%
一,2022/6/27,"28,580",72.09%,"44,470",-2.22%,"3,645,229",15.85%
二,2022/6/28,"44,280",154.93%,"42,738",-3.89%,"3,689,509",16.04%
三,2022/6/29,"42,204",95.31%,"41,304",-3.36%,"3,731,713",16.22%
四,2022/6/30,"38,942",92.27%,"39,959",-3.26%,"3,770,655",16.39%
五,2022/7/1,"35,800",91.93%,"38,535",-3.56%,"3,806,455",16.55%
六,2022/7/2,"34,827",97.28%,"37,754",-2.03%,"3,841,282",16.70%
日,2022/7/3,"32,681",93.84%,"36,759",-2.64%,"3,873,963",16.84%
一,2022/7/4,"32,118",98.28%,"37,265",1.37%,"3,906,081",16.98%
二,2022/7/5,"36,015",112.13%,"36,084",-3.17%,"3,942,096",17.14%
三,2022/7/6,"34,577",96.01%,"34,994",-3.02%,"3,976,673",17.29%
四,2022/7/7,"31,462",90.99%,"33,926",-3.05%,"4,008,135",17.43%
五,2022/7/8,"30,477",96.87%,"33,165",-2.24%,"4,038,612",17.56%
六,2022/7/9,"28,135",92.32%,"32,209",-2.88%,"4,066,747",17.68%
日,2022/7/10,"27,844",98.97%,"31,518",-2.15%,"4,094,591",17.80%
一,2022/7/11,"19,131",68.71%,"29,663",-5.89%,"4,113,722",17.89%
二,2022/7/12,"31,297",163.59%,"28,989",-2.27%,"4,145,019",18.02%
三,2022/7/13,"29,911",95.57%,"28,322",-2.30%,"4,174,930",18.15%
四,2022/7/14,"27,684",92.55%,"27,783",-1.91%,"4,202,614",18.27%
五,2022/7/15,"25,310",91.42%,"27,045",-2.66%,"4,227,924",18.38%
